accession	measurementType	technologyType	Factors
OSD-76	transcription profiling	DNA microarray	Microgravity Simulation
OSD-78	transcription profiling	DNA microarray	Ionizing Radiation;Treatment
OSD-79	transcription profiling	DNA microarray	Genotype;Ionizing Radiation
OSD-80	transcription profiling	DNA microarray	Ionizing Radiation;Time of Sample Collection After Treatment;Absorbed Radiation Dose
OSD-81	transcription profiling	DNA microarray	Strain;Atmospheric Pressure
OSD-82	Amplicon Sequencing	16S	Space Mission;Sample Location;Spaceflight
OSD-83	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Tissue
OSD-84	genome sequencing	nucleotide sequencing	Spaceflight
OSD-85	transcription profiling	RNA Sequencing (RNA-Seq)	Hypergravity
OSD-86	DNA methylation profiling	DIP-Seq	Microgravity Simulation;Antibody
OSD-87	transcription profiling	DNA microarray	Spaceflight
OSD-88	transcription profiling	DNA microarray	Ionizing Radiation;Age
OSD-89	transcription profiling	DNA microarray	Ionizing Radiation;Age
OSD-90	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation;Time
OSD-91	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-92	transcription profiling	DNA microarray	Ionizing Radiation;Time of Sample Collection After Treatment;absorbed radiation dose
OSD-93	transcription profiling	DNA microarray	strain;ionizing radiation
OSD-94	copy number variation profiling	DNA microarray	ionizing radiation;Neoplasm
OSD-95	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Dose
OSD-96	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Generation;Time of Sample Collection After Treatment
OSD-97	transcription profiling	DNA microarray	Radiation Ionzing
OSD-98	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-98	protein expression profiling	mass spectrometry	Spaceflight
OSD-98	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-99	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-99	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-100	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-100	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-101	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-101	RNA methylation profiling	Whole Transcriptome Bisulfite Sequencing	Spaceflight
OSD-101	protein expression profiling	mass spectrometry	Spaceflight
OSD-101	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-102	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-102	RNA methylation profiling	Whole Transcriptome Bisulfite Sequencing	Spaceflight
OSD-102	protein expression profiling	mass spectrometry	Spaceflight
OSD-102	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-103	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-103	RNA methylation profiling	Whole Transcriptome Bisulfite Sequencing	Spaceflight
OSD-103	protein expression profiling	mass spectrometry	Spaceflight
OSD-103	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-104	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-104	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-105	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-105	RNA methylation profiling	Whole Transcriptome Bisulfite Sequencing	Spaceflight
OSD-105	protein expression profiling	mass spectrometry	Spaceflight
OSD-105	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-106	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-107	transcription profiling	DNA microarray	Treatment;Genotype;Microgravity Simulation
OSD-108	metabolite profiling	mass spectrometry	Spaceflight
OSD-109	transcription profiling	DNA microarray	Time of Sample Collection After Treatment;Ionizing Radiation
OSD-110	protein expression profiling	gel electrophoresis	Microgravity Simulation
OSD-110	protein identification	mass spectrometry	Microgravity Simulation
OSD-111	transcription profiling	DNA microarray	Spaceflight;Tissue
OSD-112	transcription profiling	DNA microarray	Altered Gravity;Spaceflight
OSD-113	transcription profiling	DNA microarray	Spaceflight
OSD-114	transcription profiling	DNA microarray	Spaceflight;Treatment
OSD-115	transcription profiling	DNA microarray	Ionizing Radiation;Time of Sample Collection After Treatment
OSD-116	metabolite profiling	mass spectrometry	Spaceflight
OSD-116	transcription profiling	real time PCR	Spaceflight
OSD-117	transcription profiling	DNA microarray	Ionizing Radiation;Time of Sample Collection After Treatment
OSD-118	transcription profiling	DNA microarray	Spaceflight;Time
OSD-119	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation;Treatment;Time
OSD-120	Image Analysis	Photography	Ecotype;Spaceflight;Treatment
OSD-120	transcription profiling	RNA Sequencing (RNA-Seq)	Ecotype;Spaceflight;Treatment
OSD-121	Glycomic Profile	ELISA	Spaceflight
OSD-121	Morphometric analysis	Image analysis	Spaceflight
OSD-121	transcription profiling	DNA microarray	Spaceflight
OSD-122	protein expression profiling	mass spectrometry	Microgravity Simulation;Time
OSD-123	transcription profiling	DNA microarray	Altered Gravity
OSD-124	transcription profiling	DNA microarray	Electromagnetic Fields
OSD-125	transcription profiling	DNA microarray	Microgravity Simulation;Cell Line
OSD-126	Amplicon Sequencing	16S	Sample Location;Treatment;Spaceflight
OSD-127	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-128	transcription profiling	miRNA Microarray	Simulated Microgravity;Absorbed Radiation Dose;Time;Ionizing Radiation
OSD-129	transcription profiling	DNA microarray	Ionizing Radiation;Microgravity Simulation
OSD-130	transcription profiling	DNA microarray	Ionizing Radiation;Time of Sample Collection After Treatment;Genotype
OSD-131	transcription profiling	DNA microarray	Ionzing Radiation;Age
OSD-132	genome sequencing	nucleotide sequencing	radiation
OSD-133	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Time
OSD-134	transcription profiling	DNA microarray	Atmospheric Pressure;Organism Part
OSD-135	transcription profiling	DNA microarray	Spaceflight;Tissue
OSD-136	transcription profiling	DNA microarray	Atmospheric Pressure
OSD-137	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-137	Molecular Cellular Imaging	Microscopy	Spaceflight
OSD-137	protein expression profiling	mass spectrometry	Spaceflight
OSD-137	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-138	metabolite profiling	mass spectrometry	Spaceflight;Freezing
OSD-138	protein expression profiling	mass spectrometry	Spaceflight;Freezing
OSD-138	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Freezing
OSD-139	protein expression profiling	mass spectrometry	Spaceflight;Tissue
OSD-140	DNA methylation profiling	DNA microarray	Time
OSD-141	transcription profiling	RNA Sequencing (RNA-Seq)	Sample Collection Protocol;Library Construction Protocol
OSD-144	transcription profiling	DNA microarray	Cell cycle phase;Microgravity Simulation
OSD-145	metabolite profiling	mass spectrometry	Spaceflight;Freezing
OSD-145	protein expression profiling	mass spectrometry	Spaceflight;Freezing
OSD-145	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Freezing
OSD-146	amplicon sequencing	16S	Ionizing Radiation;Absorbed Radiation Dose;Time of Sample Collection After Treatment
OSD-147	transcription profiling	DNA microarray	Spaceflight;Genotype
OSD-148	transcription profiling	DNA microarray	Sex;Ionizing Radiation;Number of Radiation Doses
OSD-149	transcription profiling	DNA microarray	Culture Condition;Ionizing Radiation
OSD-151	transcription profiling	DNA microarray	Ionizing Radiation;Radiation Distance;Absorbed Radiation Dose
OSD-152	transcription profiling	DNA microarray	Time of Sample Collection After Treatment;Ionizing Radiation;Absorbed Radiation Dose
OSD-153	transcription profiling	DNA microarray	Genotype;Ionizing Radiation;Time of Sample Collection After Treatment
OSD-154	transcription profiling	DNA microarray	Absorbed Radiation Dose;Cell Line
OSD-155	transcription profiling	DNA microarray	Smoking Status;Absorbed Radiation Dose;Ionizing Radiation
OSD-156	transcription profiling	DNA microarray	Ionizing Radiation;Dose
OSD-157	transcription profiling	DNA microarray	Ionizing Radiation;Time of Sample Collection After Treatment;Sex;Absorbed Radiation Dose
OSD-158	transcription profiling	DNA microarray	Ionizing Radiation;Dose
OSD-159	transcription profiling	DNA microarray	Ionizing Radiation;Dose
OSD-160	transcription profiling	DNA microarray	Ionizing Radiation;Treatment
OSD-161	DNA methylation profiling	nucleotide sequencing	Spaceflight
OSD-161	protein expression profiling	mass spectrometry	Spaceflight
OSD-161	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-162	protein expression profiling	mass spectrometry	Spaceflight
OSD-162	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-163	DNA methylation profiling	nucleotide sequencing	Spaceflight
OSD-163	protein expression profiling	mass spectrometry	Spaceflight
OSD-163	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-164	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Tissue
OSD-165	transcription profiling	miRNA Microarray	Altered Gravity;Spaceflight;Strain
OSD-166	transcription profiling	miRNA Microarray	Altered Gravity;Spaceflight;Strain
OSD-167	transcription profiling	DNA microarray	Spaceflight;Altered Gravity;Strain
OSD-168	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Spike-in Quality Control;Space Mission
OSD-170	Amplicon Sequencing	16S	Altitude;Sample Location;Time
OSD-172	transcription profiling	DNA microarray	Altered Gravity
OSD-173	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-174	transcription profiling	DNA microarray	Sex;Tim;Spaceflight;Time
OSD-175	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose
OSD-176	transcription profiling	DNA microarray	Ionizing Radiation;Radiation Distance
OSD-177	genome sequencing	nucleotide sequencing	Spaceflight
OSD-178	transcription profiling	DNA microarray	Ionizing Radiation;Time of Sample Collection After Treatment;Radiation Distance
OSD-182	transcription profiling	DNA microarray	Ionizing Radiation;Treatment
OSD-183	transcription profiling	DNA microarray	Ionizing Radiation;Genotype;Radiation Distance;Micronucleus Index
OSD-185	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-188	transcription profiling	DNA microarray	Altered Gravity
OSD-189	transcription profiling	DNA microarray	Altered Gravity
OSD-190	transcription profiling	DNA microarray	Altered Gravity
OSD-191	amplicon sequencing	16S	Time
OSD-192	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Light Cycle;Food Deprivation;Water Deprivation;Animal Housing
OSD-193	transcription profiling	RNA Sequencing (RNA-Seq)	Time;Genotype;Spaceflight
OSD-194	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-195	transcription profiling	DNA microarray	Bed Rest;Time
OSD-198	transcription profiling	miRNA Microarray	Experimental Campaign;Bed Rest;Time
OSD-199	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-200	Amplicon Sequencing	16S and ITS	Spaceflight;Sample Location;Treatment;Sieve Size
OSD-201	transcription profiling	RNA Sequencing (RNA-Seq)	Hindlimb unloading;tetanus toxoid;vaccine adjuvant
OSD-202	DNA methylation profiling	Reduced-Representation Bisulfite Sequencing	Ionizing Radiation;Hindlimb Unloading;Time of Sample Collection After Treatment
OSD-202	transcription profiling	DNA microarray	Ionizing Radiation;Hindlimb Unloading;Time of Sample Collection After Treatment
OSD-202	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Hindlimb Unloading;Time of Sample Collection After Treatment
OSD-203	DNA methylation profiling	Reduced-Representation Bisulfite Sequencing	Ionizing Radiation;Hindlimb Unloading;Time of Sample Collection After Treatment
OSD-203	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Hindlimb Unloading;Time of Sample Collection After Treatment
OSD-205	transcription profiling	DNA microarray	Spaceflight;Genotype
OSD-207	protein expression profiling	mass spectrometry	Spaceflight;Genotype;Strain
OSD-207	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Genotype;Strain
OSD-208	transcription profiling	DNA microarray	Tissue
OSD-208	transcription profiling	RNA Sequencing (RNA-Seq)	Tissue
OSD-209	protein expression profiling	mass spectrometry	Spaceflight;Dissection Timeline;Absorbed Radiation Dose
OSD-210	genome sequencing	nucleotide sequencing	Cosmic Radiation;Genotype
OSD-211	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Hindlimb Unloading
OSD-212	Amplicon Sequencing	16S	Spaceflight
OSD-213	transcription profiling	DNA microarray	Spaceflight;Altered Gravity
OSD-214	transcription profiling	RNA Sequencing (RNA-Seq)	Hindlimb Unloading;Tetanus Toxoid;Vaccine Adjuvant
OSD-215	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-216	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-217	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight;Organism Part
OSD-217	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Organism Part
OSD-218	transcription profiling	RNA Sequencing (RNA-Seq)	Age;Spaceflight;Cultivar
OSD-219	transcription profiling	RNA Sequencing (RNA-Seq)	
OSD-220	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-222	transcription profiling	DNA microarray	Spaceflight
OSD-223	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Genotype;Organism Part;Altered Gravity
OSD-224	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Treatment;Sample Location
OSD-225	transcription profiling	DNA microarray	Hindlimb Unloading;Treatment
OSD-227	transcription profiling	DNA microarray	Hindlimb Unloading;Tissue
OSD-228	transcription profiling	DNA microarray	Hindlimb Unloading;Hindlimb Reloading Duration
OSD-232	transcription profiling	microarray	Spaceflight;Tissue
OSD-233	genome sequencing	nucleotide sequencing	Spaceflight;Strain;Growth Time
OSD-235	transcription profiling	RNA Sequencing (RNA-Seq)	Euthanasia Method;Tissue Preservation Method;Carcass Preservation Method;Dissection Condition;Tissue Homogenate Preservation Time at -80C in RLT Buffer
OSD-236	transcription profiling	RNA Sequencing (RNA-Seq)	Euthanasia Method;Tissue Preservation Method;Carcass Preservation Method;Dissection Condition
OSD-237	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Hindlimb Unloading
OSD-238	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Diet;Altered Gravity
OSD-239	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Diet;Altered Gravity
OSD-240	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-241	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-242	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-243	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-244	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-245	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-246	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-247	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-248	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Duration;Dissection Condition;Euthanasia Location
OSD-249	Amplicon Sequencing	16S	Spaceflight;Duration;Dissection Condition;Euthanasia Location;Ionizing Radiation
OSD-249	Amplicon Sequencing	16S and ITS	Spaceflight;Duration;Dissection Condition;Euthanasia Location;Ionizing Radiation
OSD-249	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Duration;Dissection Condition;Euthanasia Location;Ionizing Radiation
OSD-250	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight
OSD-251	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity
OSD-252	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Sample Location;Time;Treatment
OSD-253	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Strain;Duration;Treatment
OSD-254	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Strain;Duration
OSD-255	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-256	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Altitude
OSD-258	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Time
OSD-259	protein expression profiling	mass spectrometry	Spaceflight;Treatment
OSD-260	protein expression profiling	mass spectrometry	Spaceflight;Strain
OSD-261	protein expression profiling	mass spectrometry	Spaceflight;Strain
OSD-262	genome sequencing	nucleotide sequencing	Spaceflight
OSD-263	genome sequencing	nucleotide sequencing	Sample Location
OSD-264	genome sequencing	nucleotide sequencing	Spaceflight
OSD-265	genome sequencing	nucleotide sequencing	Growth Cycle;Strain;Sample Storage;UV Mutagenesis;Organism Part
OSD-266	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose
OSD-267	Amplicon Sequencing	16S	Spaceflight;Organism Part
OSD-267	Amplicon Sequencing	ITS	Spaceflight;Organism Part
OSD-268	Amplicon Sequencing	16S	Spaceflight;Organism Part
OSD-268	Amplicon Sequencing	ITS	Spaceflight;Organism Part
OSD-269	Amplicon Sequencing	16S	Spaceflight;Organism Part
OSD-270	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-270	transcription profiling	spatial transcriptomics	Spaceflight
OSD-271	transcription profiling	DNA microarray	Ionizing Radiation
OSD-272	transcription profiling	RNA Sequencing (RNA-Seq)	Dissection Condition;Preservation Method;Order of Preservation
OSD-273	transcription profiling	RNA Sequencing (RNA-Seq)	Dissection Condition;Preservation Method;Order of Preservation
OSD-274	transcription profiling	RNA Sequencing (RNA-Seq)	Dissection Condition;Preservation Method;Order of Preservation
OSD-275	DNA methylation profiling	DNA microarray	Ionizing Radiation
OSD-276	Amplicon Sequencing	16S	Spaceflight;Sample Location
OSD-277	transcription profiling	RNA Sequencing (RNA-Seq)	Genotype;Microgravity Simulation;Infection;Time
OSD-278	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Infection
OSD-279	Amplicon Sequencing	16S	Spaceflight;Sample Location
OSD-280	Amplicon Sequencing	16S	Spaceflight;Time
OSD-281	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Age;Genotype
OSD-282	transcription profiling	DNA microarray	Treatment
OSD-283	transcription profiling	DNA microarray	Altered Gravity
OSD-284	transcription profiling	DNA microarray	Spaceflight;Altered Gravity
OSD-285	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose;Time of Sample Collection After Treatment
OSD-286	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Treatment;Sample Location
OSD-287	Targeted Transcriptome Sequencing	RNA Sequencing (RNA-Seq)	Treatment;Sex
OSD-288	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity
OSD-289	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity;Space Mission
OSD-290	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-291	genome sequencing	nucleotide sequencing	Strain
OSD-293	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-294	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Time of Sample Collection After Treatment
OSD-295	transcription profiling	RNA Sequencing (RNA-Seq)	Hindlimb Unloading;Age;Hindlimb Reloading Duration
OSD-296	transcription profiling	DNA microarray	Genotype;Treatment;Light;Time
OSD-297	transcription profiling	DNA microarray	Altered Gravity;Treatment
OSD-298	genome sequencing	nucleotide sequencing	Strain;Spaceflight
OSD-299	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight
OSD-300	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-301	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Treatment
OSD-302	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-303	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-304	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose;Genotype
OSD-305	transcription profiling	RNA Sequencing (RNA-Seq)	Temperature;Atmospheric Pressure;Atmospheric Composition
OSD-306	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-307	metatranscriptome sequencing assay	RNA Sequencing (RNA-Seq)	Relative Humidity;CO2 Concentration;Temperature
OSD-308	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-309	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-310	Histological Assay	Histomorphometry	Spaceflight
OSD-311	genome sequencing	nucleotide sequencing	Spaceflight;Strain
OSD-313	transcription profiling	RNA Sequencing (RNA-Seq)	Genotype;Treatment
OSD-314	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity;Light
OSD-315	protein expression profiling	mass spectrometry	Microgravity Simulation;Time
OSD-316	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Study Subject;Time
OSD-317	DNA methylation profiling	microarray	Absorbed Radiation Dose;Time of Sample Collection After Treatment;Ionizing Radiation
OSD-318	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Diet
OSD-319	transcription profiling	RNA Sequencing (RNA-Seq)	Time
