accession	measurementType	technologyType	Factors
OSD-1	transcription profiling	DNA microarray	Spaceflight;Infection
OSD-2	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose
OSD-3	transcription profiling	DNA microarray	Developmental Stage;Spaceflight
OSD-4	transcription profiling	DNA microarray	Spaceflight
OSD-5	transcription profiling	DNA microarray	Microgravity Simulation
OSD-6	transcription profiling	DNA microarray	Ionizing Radiation
OSD-7	transcription profiling	DNA microarray	Spaceflight;Organism Part
OSD-8	transcription profiling	DNA microarray	Altered Gravity;Magnetic Field
OSD-9	transcription profiling	DNA microarray	Ionizing Radiation
OSD-11	transcription profiling	DNA microarray	Spaceflight
OSD-12	Transcription Profiling	DNA Microarray	Microgravity Simulation;generation
OSD-13	transcription profiling	DNA microarray	Treatment;Altered Gravity;Spaceflight
OSD-14	transcription profiling	DNA microarray	Microgravity Simulation
OSD-15	transcription profiling	DNA microarray	Spaceflight;Microgravity Simulation
OSD-16	protein expression profiling	mass spectrometry	Spaceflight;Organism Part
OSD-17	transcription profiling	DNA microarray	Spaceflight;Organism Part
OSD-18	transcription profiling	DNA microarray	Microgravity Simulation
OSD-19	transcription profiling	DNA microarray	Hindlimb Unloading;Treatment
OSD-20	transcription profiling	DNA microarray	Spaceflight
OSD-21	transcription profiling	DNA microarray	Spaceflight;Hindlimb Unloading;Time;Tissue
OSD-22	transcription profiling	DNA microarray	soil environment exposure;Time;Genotype
OSD-25	transcription profiling	DNA microarray	Spaceflight
OSD-26	Amplicon Sequencing	16S	Sample Location;Spaceflight
OSD-26	Amplicon Sequencing	ITS	Sample Location;Spaceflight
OSD-27	transcription profiling	DNA microarray	Duration;Sex;Temperature;Microgravity Simulation
OSD-28	transcription profiling	DNA microarray	environment exposure;gravitation
OSD-29	transcription profiling	DNA microarray	Spaceflight;Treatment;Altered Gravity
OSD-30	transcription profiling	DNA microarray	Microgravity Simulation
OSD-31	transcription profiling	DNA microarray	Spaceflight;Ionizing Radiation;Microgravity Simulation
OSD-32	transcription profiling	DNA microarray	Hindlimb Unloading
OSD-33	transcription profiling	DNA microarray	Spaceflight;Cage
OSD-34	transcription profiling	DNA microarray	Age;Sex;Temperature;Altered Gravity;Altered Gravity Simulator
OSD-35	transcription profiling	DNA microarray	Altered Gravity;Spaceflight
OSD-36	transcription profiling	DNA microarray	Altered Gravity;Treatment;Spaceflight;Altered Gravity Simulator
OSD-37	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Ecotype
OSD-38	protein expression profiling	mass spectrometry	Spaceflight;Sample Preservation Method
OSD-38	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Sample Preservation Method
OSD-39	transcription profiling	DNA microarray	spaceflight;gravity
OSD-40	transcription profiling	DNA microarray	temperature
OSD-41	transcription profiling	DNA microarray	gravity
OSD-42	transcription profiling	DNA microarray	Spaceflight
OSD-43	transcription profiling	DNA microarray	Microgravity Simulation
OSD-44	transcription profiling	DNA microarray	Genotype;Spaceflight
OSD-45	transcription profiling	DNA microarray	Microgravity Simulation;Time
OSD-46	transcription profiling	DNA microarray	Ionizing Radiation;Exposure Duration;Time of Sample Collection After Treatment;Genotype;Age;Absorbed Radiation Dose
OSD-47	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight
OSD-47	Molecular Cellular Imaging	Microscopy	Spaceflight
OSD-47	protein expression profiling	mass spectrometry	Spaceflight
OSD-47	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-48	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Spaceflight;Dissection Condition
OSD-48	Molecular Cellular Imaging	Microscopy	Spaceflight;Dissection Condition
OSD-48	RNA methylation profiling	Whole Transcriptome Bisulfite Sequencing	Spaceflight;Dissection Condition
OSD-48	protein expression profiling	mass spectrometry	Spaceflight;Dissection Condition
OSD-48	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Dissection Condition
OSD-49	DNA methylation profiling	Whole Genome Bisulfite Sequencing	Sample Preservation Method;Time of Sample Collection After Euthanasia;Sample Storage Time
OSD-49	protein expression profiling	mass spectrometry	Sample Preservation Method;Time of Sample Collection After Euthanasia;Sample Storage Time
OSD-49	transcription profiling	RNA Sequencing (RNA-Seq)	Sample Preservation Method;Time of Sample Collection After Euthanasia;Sample Storage Time
OSD-50	transcription profiling	DNA microarray	Spaceflight
OSD-51	transcription profiling	DNA microarray	Tissue;Bed Rest;Treatment
OSD-52	transcription profiling	DNA microarray	Spaceflight
OSD-53	transcription profiling	DNA microarray	Spaceflight;Sex;Time
OSD-54	transcription profiling	DNA microarray	Spaceflight;Treatment;Time
OSD-55	transcription profiling	miRNA Microarray	Microgravity Simulation
OSD-56	transcription profiling	DNA microarray	Microgravity Simulation
OSD-57	transcription profiling	RNA Sequencing (RNA-Seq)	Treatment
OSD-58	Deletion Pool Profiling	Nucleotide Sequencing	Culture Media;Spaceflight;zygosity;generation number
OSD-59	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-60	transcription profiling	DNA microarray	Hypergravity
OSD-61	transcription profiling	DNA microarray	Spaceflight;Genotype
OSD-62	transcription profiling	DNA microarray	Spaceflight;Genotype
OSD-63	transcription profiling	DNA microarray	Tissue;Spaceflight;Developmental Condition;Altered Gravity
OSD-64	genome sequencing	nucleotide sequencing	Spaceflight
OSD-65	Amplicon Sequencing	16S	Spaceflight
OSD-65	Amplicon Sequencing	ITS	Spaceflight
OSD-66	environmental gene survey	nucleotide sequencing	spaceflight
OSD-67	genome sequencing	nucleotide sequencing	Microgravity
OSD-68	genome sequencing	nucleotide sequencing	Spaceflight
OSD-69	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Spaceflight;Treatment
OSD-70	transcription profiling	DNA microarray	Altered Gravity;Temperature;O2 Level;Altered Gravity Simulator
OSD-71	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose
OSD-72	Amplicon Sequencing	16S	Ionizing Radiation;Diet;Microgravity Simulation;Spaceflight;Strain;Age at Start of Experiment
OSD-73	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose;Time of Sample Collection After Treatment
OSD-74	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose
OSD-75	transcription profiling	miRNA Microarray	Altered Gravity;Duration;Spaceflight
