date,n_datasets,n_plant,plant_pct,Findable,Accessible,Interoperable,Reusable,FAIR overall
2026-06-30,640,69,10.8,99.7,99.9,95.0,69.3,91.0
2026-07-01,641,69,10.8,99.7,99.9,95.0,69.3,91.0
2026-08-01,633,65,10.3,99.7,99.9,94.8,69.4,91.0
